"月","売上予算","売上実績","仕入実績","利益率"
"2025/05","60000000","64444150","49929694","141"
"2025/06","60000000","46141195","34303475","140"
"2025/07","60000000","55493475","34631804","161"
"2025/08","60000000","57776510","44405705","147"
"2025/09","60000000","57115530","43893999","127"
"2025/10","60000000","61418585","50586875","123"
"2025/11","60000000","51469720","32463279","170"
"2025/12","60000000","64441640","46656757","141"
"2026/01","60000000","71469530","41624729","165"
"2026/02","60000000","66825880","51584273","130"
"2026/03","60000000","65216465","37357825","175"
"2026/04","60000000","1666300","0","0"
