"部門コード","部門名","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"","","2024/06","78300","78300","40750","5.0000","5.0000","4","37550","48"
"","","2024/09","1560000","1560000","472890","2.0000","2.0000","2","1087110","69.7"
"","","2024/10","756000","756000","377440","2.0000","2.0000","2","378560","50.1"
"","","2024/11","1228500","1228500","685980","22.0000","22.0000","4","542520","44.2"
"","","2025/02","1175000","1175000","557610","2.0000","2.0000","2","617390","52.5"
"","","2025/03","546000","546000","447700","30.0000","30.0000","11","98300","18"
"","","2025/04","4272000","4272000","3282996","12.0000","12.0000","1","989004","23.2"
"DNK-E","電力機器事業部","2024/05","69658995","69658995","50811934","3910.0000","3910.0000","949","18847061","27.1"
"DNK-E","電力機器事業部","2024/06","64192870","64192870","46228093","6239.0000","6239.0000","915","17964777","28"
"DNK-E","電力機器事業部","2024/07","72974995","72974995","49546863","5247.0000","5247.0000","1120","23428132","32.1"
"DNK-E","電力機器事業部","2024/08","49331025","49331025","36681897","6639.0000","6639.0000","977","12649128","25.6"
"DNK-E","電力機器事業部","2024/09","25259070","25259070","18647685","4057.0000","4057.0000","779","6611385","26.2"
"DNK-E","電力機器事業部","2024/10","55817140","55802740","38968027","4836.0000","4826.0000","1234","16834713","30.2"
"DNK-E","電力機器事業部","2024/11","53846900","53846900","39566972","4196.0000","4196.0000","986","14279928","26.5"
"DNK-E","電力機器事業部","2024/12","51668960","51668960","35261960","3984.0000","3984.0000","866","16407000","31.8"
"DNK-E","電力機器事業部","2025/01","43456090","43456090","30300367","4328.0000","4328.0000","821","13155723","30.3"
"DNK-E","電力機器事業部","2025/02","64597740","64597740","43257940","3691.0000","3691.0000","925","21339800","33"
"DNK-E","電力機器事業部","2025/03","56697070","56697070","41708978","4274.0000","4274.0000","970","14988092","26.4"
"DNK-E","電力機器事業部","2025/04","35260285","35260285","24156448","2747.0000","2747.0000","579","11103837","31.5"
"DNK-M","メディア機器事業部","2024/05","250427","250427","112200","67.0000","67.0000","2","138227","55.2"
"DNK-M","メディア機器事業部","2024/06","238418","238418","112200","67.0000","67.0000","2","126218","52.9"
"DNK-M","メディア機器事業部","2024/07","310872","310872","134200","68.0000","68.0000","3","176672","56.8"
"DNK-M","メディア機器事業部","2024/08","248427","248427","113900","68.0000","68.0000","2","134527","54.2"
"DNK-M","メディア機器事業部","2024/09","256900","256900","113900","68.0000","68.0000","2","143000","55.7"
"DNK-P","ポンプ事業部","2024/11","106290","106290","85030","1.0000","1.0000","1","21260","20"
"DNK-P","ポンプ事業部","2025/02","85290","85290","65368","13.0000","13.0000","3","19922","23.4"
"DNK-F","FC事業部","2024/05","2129859","2129859","496108","3.0000","3.0000","3","1633751","76.7"
"DNK-F","FC事業部","2024/06","3201870","3201870","424874","3.0000","3.0000","3","2776996","86.7"
"DNK-F","FC事業部","2024/07","4357161","4357161","298835","3.0000","3.0000","3","4058326","93.1"
"DNK-F","FC事業部","2024/08","5123529","5123529","411826","3.0000","3.0000","3","4711703","92"
"DNK-F","FC事業部","2024/09","4044246","4044246","428711","3.0000","3.0000","3","3615535","89.4"
"DNK-F","FC事業部","2024/10","4556964","4556964","483030","3.0000","3.0000","3","4073934","89.4"
"DNK-F","FC事業部","2024/11","5013957","5013957","421185","3.0000","3.0000","3","4592772","91.6"
"DNK-F","FC事業部","2024/12","11822923","11822923","671700","3.0000","3.0000","3","11151223","94.3"
"DNK-F","FC事業部","2025/01","4627787","4627787","393886","3.0000","3.0000","3","4233901","91.5"
"DNK-F","FC事業部","2025/02","5156356","5156356","449563","3.0000","3.0000","3","4706793","91.3"
"DNK-F","FC事業部","2025/03","6806976","6806976","404100","3.0000","3.0000","3","6402876","94.1"
"DNK-F","FC事業部","2025/04","7243384","7243384","554727","3.0000","3.0000","3","6688657","92.3"
"DNK-E-N","電力事業部 名古屋","2024/12","23000","23000","7952","8.0000","8.0000","5","15048","65.4"
"DNK-E-N","電力事業部 名古屋","2025/03","2174000","2174000","1276210","65.0000","65.0000","8","897790","41.3"
"DNK-E-S","電力事業部 仙台","2024/11","6723000","6723000","6141880","15.0000","15.0000","14","581120","8.6"
"DNK-E-S","電力事業部 仙台","2024/12","1030000","1030000","663860","3.0000","3.0000","2","366140","35.5"
"DNK-E-S","電力事業部 仙台","2025/01","864000","864000","570380","2.0000","2.0000","1","293620","34"
"DNK-E-S","電力事業部 仙台","2025/04","4553000","4553000","4050420","9.0000","9.0000","8","502580","11"
